"id","label","location","sentiment_score","followers_count"
"x3947631496","TuxData","Earth #EARTH",5,14
"x1001858595447824384","minimechat","Earth la Terre",4,4
"x1295371423","cathycath05","Eaubonne",4,511
"x945416698777260033","Adignotum","Eauze, France",6,108
"x895768102914359299","Georges_Lecalve","En Bretagne, la Fin de la Terre.",3,46
"x1267207127388520448","ReinfoCovid",,6,3750
"x804663900293709826","Le___Doc","En Vaccinie en 2021",8,58977
"x470456931","brookfieldgirl","England and France",8,45
"x1273266013447086084","BeaucampI","Entre-deux-Mers",10,43
"x2973515211","GuyManmins","Entre Lille et Marseille",3,395
"x1067882273582850051","GoulinetT","Entre ma chaise et mon bureau.",3,27
"x10330232","Le_M_Poireau","Entre Pyrénées et Corbières…",3,12880
"x111390176","Didier515","Epinal, France",3,651
"x424925861","curunetb","Ergué Gabéric",3,74
"x1216698003551064065","TheMrM3rl1n","Espagne",3,73
"x1131852846184435712","tradefutur","Espagne",6,7858
"x409581802","mbg19690405","España",3,3544
"x776737801","fabrice_frank","Essaouira",7,212
"x515405354","acpoisson","ESSONNE",4,3627
"x968536905796157440","Complex_plane42","Essonne, Ile-de-France",4,6
"x983527219","FxBookLTTG","Estonia",9,751
"x4463658280","FestyThierry","Etretat, France",4,15
"x374141509","PaulHenriCadier","Eurasia",5,3988
"x880319962233090048","Erick_P_Muller_","Europa",5,2290
"x108434962","lapin47","Europe",6,10518
"x13470272","INFOTOX","Europe",10,1759
"x991349200641253378","ParisAnonyme","Europe",4,114
"x1035568561195048961","TLibdem","Europe",7,146
"x611723769","LatouryGermain","Europe",4,1239
"x482696737","gambrinus67","Europe",4,1607
"x212882015","mantzig","Europe",3,144
"x44214196","Eberretta","Europe",3,45079
"x266653632","euronewsfr","Europe",6,69624
"x725706394696081408","MarieAnne_086","EUROPE",3,1158
"x1321638297614065664","AdrienYHC","Europe - Asia",4,79
"x398805513","VasilisDalianis","Europe is my playground",3,1144
"x21846381","Arfang","Europe, Alsace, Obernai",3,192
"x1920961962","__JvtS","Everywhere",4,692
"x1259481319043719170","danyetlucie","Ex pays des Droits de l'Homme.",4,1598
"x717560224723369984","kb_jardin","Far West  Gironde !",4,569
"x193880469","serval1970","Fès - Boulemane, Royaume du Ma",6,322
"x1241334550149705728","pg837","Fille ainée de l'Eglise",4,64
"x1635725532","salutlescocos","Finistère, Bretagne",4,366
"x146846407","AD1968F","FL USA",3,2138
"x1227720695578316800","DamienTexier2","Fontenay-aux-Roses, France",6,45
"x380007544","VBordenave","Fontenay-aux-Roses, France",3,85
"x705151469251645440","Mehdichkr","Fontenay-sous-Bois, France",3,228
"x1261943450783698945","kobi_OM","football world observe",4,1182
"x339596524","Fabien58600","Fourchambault, France",3,220
"x1353495004476547072","stephouriego","fr",4,31
"x1559925114","surrocahenri","france",8,1796
"x904349491","languillem","france",8,6773
"x394851134","fabt63","france",3,45
"x436151518","abchilamri","france",3,50
"x192683123","Willjokaa","france",3,84
"x2977030751","wollanup","france",3,147
"x48889987","lechti_cowboy","france",3,792
"x111608426","blebas7","france",3,1036
"x3241925943","ClPeqt","France",9,9100
"x214944720","kevinenhart","France",8,904
"x1083414141124202496","Quazah1","France",7,39
"x1327725919163789314","NabilZeid1","France",12,537
"x986380064","nadirbuzz","France",7,685
"x393217998","DocteurePATATE","France",7,2387
"x4535481335","PChaibriant","France",45,3936
"x616274734","KaplanBen_Fr","France",33,5505
"x173333737","SuperTwitto","France",7,5695
"x1320082181931388931","ExosiaGaming","France",6,25
"x560297386","sg_dead","France",6,47
"x1032687899878285312","JPakoi","France",6,71
"x2257680324","DeniSimonin","France",6,82
"x83139061","littlesoftangel","France",6,230
"x1701600151","Pat290260","France",6,352
"x1338967212892286976","Souverainistes_","France",11,968
"x1285867636333707265","ce_avec","France",9,4245
"x901619966","axel_deb","France",6,8545
"x200659061","UPR_Asselineau","France",15,78524
"x1214315619031478272","Mediavenir","France",17,964411
"x1122486823559860224","Maylis93062915","France",9,0
"x867709680407261185","luluberlu24","France",5,0
"x1240301521209831424","ftyrsgu","Paris, France",11,14
"x991276448","jbdespelotes","France",25,17
"x1067892181","PaulPolo75","France",5,35
"x34571004","mathildeclaude","France",5,49
"x193508243","OnlyJeeDay","France",5,52
"x3130639738","gilles_merckx","France",15,70
"x1232017758428258305","DosMaryan","France",5,88
"x1664533771","PSLeQuotidien","France",5,279
"x390203202","MacedonianMak","France",5,288
"x1460135654","RafLeonardi","France",5,372
"x29963108","ffunivers","France",36,608
"x629787312","rodriguezelise1","France",5,890
"x111867114","certainementpas","France",5,1249
"x1070036213921443840","Hedge_Doc","France",5,1253
"x347851489","daphneH87","France",5,1736
"x2825289130","JPRiviere2","France",9,1877
"x1733504264","ClovisChMartel","France",5,2542
"x91339082","atlasinfo","France",9,3127
"x391920857","JuliaCerisi","France",9,4141
"x372315720","FMAGHREB2","France",5,4456
"x1020021918","doltostoi","France",5,4830
"x150212556","DellTechFrance","France",5,7382
"x122672828","Chedon18","France",5,9482
"x1350872280163823617","Sovial4","France",7,10
"x1262797746169405441","ontochromie","France",7,20
"x1354049844755763200","MpbRoro","France",4,20
"x1325811850022449153","UtrinqueP","France",7,32
"x1351475267458523136","covidplus1","France",14,50
"x1346814413651767297","BethLEFEBVRE1","France",4,37
"x1237792080073756680","5Nouvelles","France",7,39
"x914160151225040897","dvds_lyon","France",4,39
"x349541947","GalletMarlene","France",7,48
"x1135223863","ifbhbleu","France",7,61
"x1059741616037134336","PhilippeLebret7","France",4,62
"x429959773","_NumeroDix","France",7,67
"x755779485748822016","Rey0669","France",4,69
"x1246574273814319104","AdamLerich","France",4,70
"x1327724086445961222","CayNico","France",7,74
"x1076186669370523649","TomS82794181","France",4,80
"x1262952933945159680","OrBlanceditions","France",4,80
"x816517055423905792","fredfromfrance3","France",4,101
"x1037996644132896768","teddybe16529527","France",4,106
"x4842835966","bourouin","France",4,137
"x799708200","gdmag47","France",4,143
